interaction,direction,correspondent_id,datetime,call_duration,antenna_id
text,in,A,2014-03-02 07:13:30,,1
text,in,E,2014-03-02 07:53:30,,1
text,in,E,2014-03-02 08:22:30,,2
text,out,D,2014-03-02 08:34:30,,3
text,out,C,2014-03-02 09:04:30,,4
text,in,G,2014-03-02 10:59:30,,2
text,in,B,2014-03-02 15:14:30,,1
text,in,E,2014-03-02 20:02:30,,1
text,in,C,2014-03-02 21:11:30,,1
text,in,C,2014-03-03 06:27:15,,1
text,in,C,2014-03-03 06:52:15,,1
text,out,G,2014-03-03 08:21:15,,1
call,in,G,2014-03-03 09:14:15,374,1
text,out,E,2014-03-03 10:50:29,,3
text,out,B,2014-03-03 15:40:29,,4
text,in,C,2014-03-03 20:48:29,,7
text,in,F,2014-03-03 22:28:29,,1
text,in,B,2014-03-04 05:07:08,,1
text,in,E,2014-03-04 06:32:08,,1
text,out,E,2014-03-04 07:49:08,,1
text,in,C,2014-03-04 08:50:08,,3
call,in,D,2014-03-04 10:47:08,5359,3
call,out,A,2014-03-04 16:35:27,6233,4
text,out,C,2014-03-04 18:37:20,,4
text,in,B,2014-03-04 18:49:20,,6
text,in,B,2014-03-04 20:16:20,,6
text,out,B,2014-03-04 21:46:20,,6
text,in,B,2014-03-04 22:06:20,,1
text,in,G,2014-03-04 22:52:20,,1
text,out,G,2014-03-05 05:33:06,,1
call,out,D,2014-03-05 06:05:06,4472,3
text,in,E,2014-03-05 08:19:38,,3
text,in,F,2014-03-05 08:56:38,,6
text,in,E,2014-03-05 10:58:38,,6
text,in,G,2014-03-05 14:57:38,,6
text,out,B,2014-03-05 20:38:38,,6
text,out,E,2014-03-05 21:50:38,,1
text,out,D,2014-03-06 05:58:07,,1
text,in,C,2014-03-06 06:25:07,,1
text,in,C,2014-03-06 06:45:07,,1
text,in,C,2014-03-06 08:38:07,,1
text,out,C,2014-03-06 10:05:07,,4
call,out,B,2014-03-06 16:40:07,2456,3
call,out,G,2014-03-06 17:32:03,1099,7
call,out,B,2014-03-06 18:55:22,1330,7
text,in,D,2014-03-06 20:08:32,,1
call,in,D,2014-03-06 22:13:32,5413,1
text,out,G,2014-03-07 06:04:53,,1
text,in,B,2014-03-07 08:17:53,,1
text,out,A,2014-03-07 12:51:53,,1
text,in,E,2014-03-07 20:31:53,,1
text,in,E,2014-03-07 23:02:53,,1
text,in,B,2014-03-08 11:47:19,,1
text,out,E,2014-03-08 18:16:19,,1
text,in,E,2014-03-08 20:38:19,,1
text,in,F,2014-03-08 22:37:19,,1
text,out,D,2014-03-09 10:55:14,,6
call,out,E,2014-03-09 14:38:14,3404,6
call,out,F,2014-03-09 19:21:58,1086,6
text,in,B,2014-03-09 21:35:04,,6
text,out,C,2014-03-09 22:52:04,,6
call,in,F,2014-03-10 05:53:23,1927,6
text,out,F,2014-03-10 07:50:30,,6
call,in,C,2014-03-10 08:00:30,594,6
call,in,E,2014-03-10 09:44:24,6429,1
text,in,C,2014-03-10 11:46:33,,3
text,in,B,2014-03-10 16:56:33,,3
text,in,D,2014-03-10 18:16:33,,1
call,in,E,2014-03-10 20:07:33,5752,1
call,out,E,2014-03-10 22:28:25,4689,1
text,out,E,2014-03-11 06:14:50,,1
text,in,G,2014-03-11 07:22:50,,1
call,in,B,2014-03-11 08:55:50,3552,3
text,out,B,2014-03-11 10:49:02,,3
call,in,E,2014-03-11 16:31:02,5142,1
text,in,A,2014-03-11 19:38:44,,1
text,in,A,2014-03-11 21:12:44,,1
text,in,A,2014-03-11 22:47:44,,1
text,in,A,2014-03-12 05:30:34,,1
text,in,E,2014-03-12 07:01:34,,3
text,in,G,2014-03-12 07:26:34,,3
call,in,D,2014-03-12 09:03:34,2072,4
text,out,E,2014-03-12 10:55:06,,1
text,in,B,2014-03-12 16:50:06,,1
text,in,G,2014-03-12 18:54:06,,1
text,in,C,2014-03-12 19:50:06,,1
call,out,B,2014-03-12 21:42:06,7123,1
text,in,E,2014-03-13 05:27:26,,1
text,out,B,2014-03-13 06:03:26,,3
text,in,G,2014-03-13 06:53:26,,1
text,in,E,2014-03-13 07:07:26,,4
text,in,D,2014-03-13 08:11:26,,6
text,in,C,2014-03-13 09:08:26,,6
text,in,B,2014-03-13 09:48:26,,1
call,out,G,2014-03-13 10:29:26,7082,3
text,in,B,2014-03-13 17:22:28,,4
text,out,E,2014-03-13 18:50:28,,1
text,in,C,2014-03-13 19:47:28,,1
call,out,E,2014-03-13 21:43:28,2258,3
text,in,E,2014-03-14 05:55:48,,1
text,out,C,2014-03-14 10:04:48,,1
text,in,B,2014-03-14 17:37:48,,1
text,in,D,2014-03-14 19:24:48,,3
text,in,E,2014-03-14 23:59:48,,3
call,in,G,2014-03-15 08:53:55,5689,6
call,in,C,2014-03-15 12:49:44,2854,6
text,in,E,2014-03-15 19:19:18,,6
call,in,G,2014-03-15 23:11:18,3286,1
text,in,A,2014-03-16 08:03:24,,1
text,in,G,2014-03-16 08:28:24,,2
call,out,G,2014-03-16 09:03:24,4202,3
text,in,C,2014-03-16 10:32:26,,3
call,in,B,2014-03-16 15:27:26,6891,4
call,in,D,2014-03-17 05:51:45,2871,5
text,out,B,2014-03-17 07:33:36,,1
text,out,B,2014-03-17 08:58:36,,1
text,in,B,2014-03-17 11:00:36,,1
text,in,G,2014-03-17 16:12:36,,2
text,out,G,2014-03-17 18:05:36,,3
text,out,B,2014-03-17 18:22:36,,3
text,out,F,2014-03-17 19:48:36,,1
call,in,D,2014-03-17 21:45:36,4666,1
text,in,A,2014-03-18 05:40:24,,7
text,in,D,2014-03-18 06:41:24,,1
call,out,C,2014-03-18 08:20:24,6392,1
text,in,C,2014-03-18 11:06:56,,1
text,in,F,2014-03-18 17:05:56,,2
text,in,E,2014-03-18 18:52:56,,3
text,in,F,2014-03-18 20:22:56,,3
text,out,D,2014-03-18 21:54:56,,3
text,out,G,2014-03-18 22:29:56,,3
text,out,G,2014-03-19 06:27:42,,5
text,out,C,2014-03-19 07:51:42,,6
text,in,D,2014-03-19 08:36:42,,6
call,in,E,2014-03-19 08:59:42,539,1
text,in,G,2014-03-19 10:38:41,,3
call,in,G,2014-03-19 14:38:41,6541,3
call,out,E,2014-03-19 21:47:42,3782,3
text,out,B,2014-03-20 05:09:57,,3
call,out,D,2014-03-20 06:36:57,4240,4
text,in,A,2014-03-20 09:34:37,,1
text,in,G,2014-03-20 10:07:37,,1
text,in,E,2014-03-20 14:44:37,,1
call,in,F,2014-03-20 18:54:37,5658,1
call,out,C,2014-03-20 21:04:55,2726,3
text,out,E,2014-03-20 22:17:21,,1
text,in,D,2014-03-21 06:20:56,,1
text,in,E,2014-03-21 07:53:56,,1
call,in,C,2014-03-21 10:47:56,2109,3
text,in,B,2014-03-21 18:14:05,,1
text,out,C,2014-03-21 21:25:05,,3
call,in,E,2014-03-22 07:23:43,403,1
call,out,B,2014-03-22 12:16:26,3609,1
text,in,G,2014-03-22 19:27:35,,1
text,in,E,2014-03-22 22:58:35,,1
call,out,A,2014-03-23 07:55:49,4154,1
text,in,D,2014-03-23 10:20:03,,3
text,out,C,2014-03-23 15:25:03,,3
text,in,B,2014-03-23 20:00:03,,3
call,in,F,2014-03-23 21:23:03,6674,1
text,in,D,2014-03-24 06:03:11,,1
text,out,A,2014-03-24 06:42:11,,1
call,out,B,2014-03-24 07:49:11,3503,1
call,in,F,2014-03-24 09:51:34,6539,1
text,in,E,2014-03-24 12:44:33,,3
call,in,C,2014-03-24 16:24:33,5096,3
text,in,D,2014-03-24 19:43:29,,3
text,in,B,2014-03-24 21:42:29,,6
call,out,F,2014-03-24 22:58:29,154,6
text,in,E,2014-03-25 05:46:38,,1
text,in,D,2014-03-25 06:40:38,,1
call,out,B,2014-03-25 08:20:38,3531,1
text,out,G,2014-03-25 10:38:29,,1
call,in,G,2014-03-25 14:31:29,3454,2
text,in,D,2014-03-25 20:04:03,,3
text,out,D,2014-03-25 21:34:03,,3
text,in,E,2014-03-25 22:22:03,,3
call,in,G,2014-03-26 06:23:29,3668,6
text,in,C,2014-03-26 09:17:37,,6
text,out,C,2014-03-26 09:36:37,,7
text,in,D,2014-03-26 10:17:37,,1
text,in,F,2014-03-26 15:22:37,,1
text,out,D,2014-03-26 20:33:37,,8
call,in,G,2014-03-26 22:16:37,5184,8
call,in,D,2014-03-27 06:12:21,4877,3
text,in,C,2014-03-27 08:20:38,,3
text,out,G,2014-03-27 08:30:38,,3
text,in,G,2014-03-27 10:31:38,,6
call,in,B,2014-03-27 17:25:38,267,5
call,out,F,2014-03-27 18:13:05,4929,1
text,out,B,2014-03-27 21:40:14,,1
text,in,B,2014-03-28 05:37:42,,1
call,out,D,2014-03-28 07:09:42,4832,3
call,in,D,2014-03-28 13:11:14,1890,4
text,in,B,2014-03-28 20:47:44,,1
call,in,C,2014-03-29 09:43:13,706,1
text,in,F,2014-03-29 13:53:59,,3
call,in,B,2014-03-29 19:44:59,1273,6
text,in,E,2014-03-30 07:16:34,,6
text,out,C,2014-03-30 08:19:34,,6
text,out,F,2014-03-30 08:36:34,,3
call,in,G,2014-03-30 09:51:34,3435,3
text,in,E,2014-03-30 11:31:49,,1
text,in,B,2014-03-30 17:23:49,,1
text,out,E,2014-03-30 17:48:49,,1
text,out,F,2014-03-30 18:55:49,,1
text,in,B,2014-03-30 19:41:49,,1
call,in,E,2014-03-30 19:51:49,7038,1
text,in,G,2014-03-31 05:02:13,,3
text,in,C,2014-03-31 05:24:13,,3
call,out,G,2014-03-31 06:03:13,1937,3
text,in,B,2014-03-31 07:41:30,,1
text,in,E,2014-03-31 08:01:30,,1
text,in,B,2014-03-31 08:20:30,,1
text,in,B,2014-03-31 08:50:30,,1
text,in,D,2014-03-31 09:09:30,,1
call,out,C,2014-03-31 09:54:30,1853,1
call,in,E,2014-03-31 12:22:23,140,9
text,out,C,2014-03-31 18:38:43,,9
text,in,C,2014-03-31 19:35:43,,3
text,out,F,2014-03-31 21:02:43,,3
text,in,B,2014-03-31 21:40:43,,3
text,out,C,2014-03-31 22:57:43,,3
text,in,C,2014-04-01 05:08:21,,3
text,in,C,2014-04-01 06:34:21,,1
text,in,B,2014-04-01 08:24:21,,1
text,in,B,2014-04-01 10:00:21,,1
text,in,E,2014-04-01 15:35:21,,1
text,in,B,2014-04-01 20:01:21,,1
text,in,E,2014-04-01 21:35:21,,3
text,in,G,2014-04-01 22:20:21,,3
text,in,E,2014-04-02 05:57:48,,3
text,out,E,2014-04-02 07:44:48,,3
text,in,C,2014-04-02 08:23:48,,3
text,in,B,2014-04-02 10:24:48,,5
text,out,D,2014-04-02 15:56:48,,5
text,in,G,2014-04-02 20:36:48,,6
call,in,A,2014-04-02 22:37:48,5728,1
text,in,B,2014-04-03 06:00:03,,1
text,out,B,2014-04-03 06:44:03,,3
text,in,B,2014-04-03 07:27:03,,3
text,in,B,2014-04-03 08:50:03,,4
text,in,C,2014-04-03 10:32:03,,3
text,in,C,2014-04-03 13:57:03,,6
text,in,D,2014-04-03 19:09:03,,1
text,in,C,2014-04-03 20:25:03,,1
call,out,F,2014-04-03 22:23:03,620,1
call,out,G,2014-04-03 22:54:23,231,1
text,in,G,2014-04-04 06:43:13,,1
text,in,E,2014-04-04 08:16:13,,4
text,in,F,2014-04-04 10:16:13,,1
text,in,G,2014-04-04 14:52:13,,1
text,out,E,2014-04-04 23:20:13,,1
text,out,B,2014-04-05 10:12:11,,3
text,out,A,2014-04-05 16:08:11,,3
text,out,C,2014-04-05 19:43:11,,6
text,in,D,2014-04-05 23:19:11,,6
text,out,E,2014-04-06 08:30:16,,1
text,out,A,2014-04-06 09:04:16,,1
text,in,C,2014-04-06 10:21:16,,1
text,in,D,2014-04-06 15:47:16,,1
text,in,E,2014-04-06 21:17:16,,1
text,out,E,2014-04-06 21:55:16,,2
text,in,E,2014-04-07 05:39:27,,3
text,in,E,2014-04-07 06:19:27,,3
call,out,E,2014-04-07 07:44:27,4002,6
text,out,E,2014-04-07 10:36:09,,7
text,in,B,2014-04-07 14:54:09,,7
text,in,B,2014-04-07 19:04:09,,1
text,in,G,2014-04-07 20:29:09,,10
text,out,E,2014-04-07 21:39:09,,10
text,in,B,2014-04-07 22:48:09,,3
call,in,E,2014-04-08 05:58:45,4451,10
text,in,E,2014-04-08 08:49:56,,10
text,out,B,2014-04-08 09:29:56,,1
text,in,A,2014-04-08 09:44:56,,1
text,in,A,2014-04-08 11:27:56,,1
call,in,B,2014-04-08 15:25:56,1309,1
call,in,G,2014-04-08 21:16:45,3210,1
text,out,E,2014-04-09 06:03:01,,1
text,in,E,2014-04-09 07:17:01,,3
text,in,F,2014-04-09 08:22:01,,3
text,in,C,2014-04-09 09:14:01,,3
text,in,C,2014-04-09 09:55:01,,6
text,in,A,2014-04-09 11:38:01,,6
text,in,E,2014-04-09 16:21:01,,6
text,in,E,2014-04-09 16:44:01,,3
text,in,E,2014-04-09 18:40:01,,3
text,out,F,2014-04-09 19:15:01,,3
text,out,E,2014-04-09 19:33:01,,4
call,out,E,2014-04-09 20:47:01,969,3
call,out,D,2014-04-09 21:39:10,4227,1
text,in,B,2014-04-10 06:33:41,,1
text,in,C,2014-04-10 07:29:41,,1
text,in,B,2014-04-10 09:16:41,,10
text,in,G,2014-04-10 10:29:41,,10
call,out,D,2014-04-10 15:18:41,1999,10
text,in,D,2014-04-10 21:51:00,,10
text,in,B,2014-04-11 06:13:43,,10
text,out,B,2014-04-11 10:25:43,,1
call,in,F,2014-04-11 19:28:43,1355,1
text,in,B,2014-04-12 12:10:19,,1
text,in,F,2014-04-12 18:34:19,,3
call,in,B,2014-04-12 23:20:19,2626,3
text,out,C,2014-04-13 08:09:20,,1
text,in,D,2014-04-13 09:14:20,,1
text,out,G,2014-04-13 10:43:20,,1
call,in,B,2014-04-13 14:21:20,5804,1
call,in,G,2014-04-13 21:50:04,4146,1
text,out,G,2014-04-14 06:12:15,,3
text,in,E,2014-04-14 06:48:15,,3
text,out,F,2014-04-14 08:12:15,,3
call,in,E,2014-04-14 08:58:15,6682,1
text,in,D,2014-04-14 12:04:37,,1
