interaction,direction,correspondent_id,datetime,call_duration,antenna_id
call,out,d163ffb87507757a4b71c0bd8ae4b0a88b1b13bb,2014-07-01 11:11:27,1440,606
call,out,9b7d7a1ec529cb5252e4b1e50f70cff853e591,2014-07-01 16:42:30,2220,848
call,in,9b7d7a1ec529cb5252e4b1e50f70cff853e591,2014-07-01 17:14:34,2460,897
text,out,ceb8ba95396da4c0163ed774ba89491d3ae40b63,2014-07-01 17:21:16,,902
call,out,a12b45995e7a5c64488cb784cf1f2e3721b6fa43,2014-07-01 17:22:33,2580,906
call,out,a12b45995e7a5c64488cb784cf1f2e3721b6fa43,2014-07-01 17:38:15,1200,947
text,out,10443ab4248a7b3540a948c3e6af3c0a46ef0b6a,2014-07-02 00:20:39,,1552
call,out,a12b45995e7a5c64488cb784cf1f2e3721b6fa43,2014-07-02 13:08:43,780,2462
text,out,e6fdb41f86af7112c942442a8c426b8c30868b94,2014-07-02 18:10:08,,2788
call,in,9b7d7a1ec529cb5252e4b1e50f70cff853e591,2014-07-03 07:24:08,780,3646
text,out,ca431d6626bc2d2bdec65be250bc21b5bdcc469e,2014-07-03 11:10:21,,3970
call,out,a12b45995e7a5c64488cb784cf1f2e3721b6fa43,2014-07-03 15:46:07,1380,4519
call,out,9b7d7a1ec529cb5252e4b1e50f70cff853e591,2014-07-03 21:46:16,1320,4953
text,out,1104ca1868a7fd93f85213d43b7af84919d0e33c,2014-07-07 12:58:34,,8884
text,out,351ced19f4ce229cbad3d3d44caa3767f5471b4f,2014-07-07 12:58:47,,8884
text,out,f97e5e84a9709d57d36212f612ec2cadcbe89fde,2014-07-07 12:59:11,,8884
text,out,8c732e7be554fc6775272d48ebbdc8023c4dc8b9,2014-07-07 14:34:57,,8943
text,out,1104ca1868a7fd93f85213d43b7af84919d0e33c,2014-07-20 11:25:48,,23631
text,out,351ced19f4ce229cbad3d3d44caa3767f5471b4f,2014-07-20 11:26:02,,23631
text,out,8c732e7be554fc6775272d48ebbdc8023c4dc8b9,2014-07-20 11:26:06,,23631
text,out,f97e5e84a9709d57d36212f612ec2cadcbe89fde,2014-07-20 11:26:27,,23633
