time,type,call_duration
01-07-14 11:11,out_call,1440.0
01-07-14 16:42,out_call,2220.0
01-07-14 17:14,inc_call,2460.0
01-07-14 17:21,out_text,
01-07-14 17:22,out_call,2580.0
01-07-14 17:38,out_call,1200.0
02-07-14 00:20,out_text,
02-07-14 13:08,out_call,780.0
02-07-14 18:10,out_text,
03-07-14 07:24,inc_call,780.0
03-07-14 11:10,out_text,
03-07-14 15:46,out_call,1380.0
03-07-14 21:46,out_call,1320.0
07-07-14 12:58,out_text,
07-07-14 12:58,out_text,
07-07-14 12:59,out_text,
07-07-14 14:34,out_text,
20-07-14 11:25,out_text,
20-07-14 11:26,out_text,
20-07-14 11:26,out_text,
20-07-14 11:26,out_text,
